ResourceName,ResourceId,ResourceType,ResourceGroup,ResourceGroupId,ResourceLocation,Subscription,SubscriptionId,Tags,Cost,CostUSD,Currency
ch1-avsmgmtvm,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-avsrg/providers/microsoft.compute/virtualmachines/ch1-avsmgmtvm,Virtual machine,ch1-avsrg,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-avsrg,"US East 2, us east 2, intercontinental",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,[],13.73929054,13.73929054,USD
ch1-appbevm00,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-retailrg-pri/providers/microsoft.compute/virtualmachines/ch1-appbevm00,Virtual machine,ch1-retailrg-pri,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-retailrg-pri,"us east, intercontinental, US East",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,"[""\""demo_cost_centre\"":\""2000222\"""",""\""demo_application\"":\""azure_commerce\"""",""\""demo_team\"":\""red\"""",""\""demo_business_unit\"":\""sales\"""",""\""demo_environment\"":\""prod\"""",""\""scenario\"":\""retail\"""",""\""owner\"":\""microsoft\"""",""\""creator\"":\""viacode\"""",""\""updatedomain\"":\""0\""""]",13.73696364,13.73696364,USD
ch1-appbevm01,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-retailrg-pri/providers/microsoft.compute/virtualmachines/ch1-appbevm01,Virtual machine,ch1-retailrg-pri,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-retailrg-pri,"us east, intercontinental, US East",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,"[""\""demo_cost_centre\"":\""2000222\"""",""\""demo_application\"":\""azure_commerce\"""",""\""demo_team\"":\""red\"""",""\""demo_business_unit\"":\""sales\"""",""\""demo_environment\"":\""prod\"""",""\""scenario\"":\""retail\"""",""\""owner\"":\""microsoft\"""",""\""creator\"":\""viacode\"""",""\""updatedomain\"":\""1\""""]",13.73661892,13.73661892,USD
ch1-jboxvm00,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-opsrg-pri/providers/microsoft.compute/virtualmachines/ch1-jboxvm00,Virtual machine,ch1-opsrg-pri,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-opsrg-pri,"intercontinental, us east, US East",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,"[""\""creator\"":\""viacode\"""",""\""demo_application\"":\""azure_infra\"""",""\""demo_business_unit\"":\""sales\"""",""\""demo_cost_centre\"":\""1000111\"""",""\""demo_environment\"":\""prod\"""",""\""demo_team\"":\""blue\"""",""\""owner\"":\""microsoft\"""",""\""scenario\"":\""infra\"""",""\""updatedomain\"":\""0\""""]",13.73326914,13.73326914,USD
akswindow,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/mc_ch1-contososh360clusterrg_ch1-contososh360cluster_eastus/providers/microsoft.compute/virtualmachinescalesets/akswindow,Virtual machine scale set,mc_ch1-contososh360clusterrg_ch1-contososh360cluster_eastus,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/mc_ch1-contososh360clusterrg_ch1-contososh360cluster_eastus,"us east, intercontinental, US East",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,"[""\""aks-managed-createoperationid\"":\""73a6c91f-86e6-40be-a478-b446a2811536\"""",""\""aks-managed-creationsource\"":\""vmssclient-akswindow\"""",""\""aks-managed-orchestrator\"":\""kubernetes:1.23.5\"""",""\""aks-managed-poolname\"":\""window\"""",""\""aks-managed-resourcenamesuffix\"":\""35280\"""",""\""aks-managed-orchestrator:kubernetes\"":\""1.23.5\""""]",13.73073789,13.73073789,USD
ch1-sqlvm-test,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-liftnshiftrg/providers/microsoft.compute/virtualmachines/ch1-sqlvm-test,Virtual machine,ch1-liftnshiftrg,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-liftnshiftrg,"US West 2, us west 2",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,[],12.12905318,12.12905318,USD
am-temp18663c71,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-liftnshiftrg/providers/microsoft.compute/virtualmachines/am-temp18663c71,Virtual machine,ch1-liftnshiftrg,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-liftnshiftrg,"us west 2, US West 2",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,"[""\""createdby\"":\""azure migrate\""""]",10.87115058,10.87115058,USD
am-temp9e408824,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-liftnshiftrg/providers/microsoft.compute/virtualmachines/am-temp9e408824,Virtual machine,ch1-liftnshiftrg,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-liftnshiftrg,"us west 2, US West 2",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,"[""\""createdby\"":\""azure migrate\""""]",10.87084564,10.87084564,USD
am-temp9fc37a22,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-liftnshiftrg/providers/microsoft.compute/virtualmachines/am-temp9fc37a22,Virtual machine,ch1-liftnshiftrg,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-liftnshiftrg,"us west 2, US West 2",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,"[""\""createdby\"":\""azure migrate\""""]",10.86872071,10.86872071,USD
ch1gearamaacr,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-fabrikamrg/providers/microsoft.containerregistry/registries/ch1gearamaacr,Container registry,ch1-fabrikamrg,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-fabrikamrg,US East,Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,[],10.42904043,10.42904043,USD
